selection_method,crossover_method,mutation_method,reinsertion_method,converged,execution_time,best_solution
tournament,cyclic,swap,ordered,False,0.3296339511871338,
tournament,cyclic,swap,ordered,False,0.26512789726257324,
tournament,cyclic,swap,ordered,False,0.11624407768249512,
tournament,cyclic,swap,ordered,True,0.10585498809814453,"[7, 6, 4, 9, 0, 8, 1, 5]"
tournament,cyclic,swap,ordered,False,0.17730116844177246,
tournament,cyclic,swap,ordered,False,0.28711509704589844,
tournament,cyclic,swap,ordered,False,0.19721293449401855,
tournament,cyclic,swap,ordered,False,0.26032376289367676,
tournament,cyclic,swap,ordered,True,0.3087351322174072,"[2, 8, 1, 9, 0, 3, 6, 7]"
tournament,cyclic,swap,ordered,False,0.0682518482208252,
tournament,cyclic,swap,ordered,False,0.21787023544311523,
tournament,cyclic,swap,ordered,True,0.02426767349243164,"[5, 7, 3, 2, 0, 6, 4, 9]"
tournament,cyclic,swap,ordered,False,0.29002881050109863,
tournament,cyclic,swap,ordered,False,0.1339559555053711,
tournament,cyclic,swap,ordered,True,0.12190818786621094,"[6, 8, 5, 3, 0, 7, 2, 1]"
tournament,cyclic,swap,ordered,False,0.1360640525817871,
tournament,cyclic,swap,ordered,False,0.22703170776367188,
tournament,cyclic,swap,ordered,False,0.24046897888183594,
tournament,cyclic,swap,ordered,True,0.02995896339416504,"[7, 4, 2, 9, 0, 8, 1, 3]"
tournament,cyclic,swap,ordered,False,0.11460399627685547,
tournament,cyclic,swap,ordered,False,0.30603909492492676,
tournament,cyclic,swap,ordered,False,0.25363993644714355,
tournament,cyclic,swap,ordered,True,0.14813995361328125,"[5, 8, 4, 9, 0, 6, 3, 7]"
tournament,cyclic,swap,ordered,True,0.018243074417114258,"[7, 6, 4, 3, 0, 8, 2, 9]"
tournament,cyclic,swap,ordered,False,0.1170508861541748,
tournament,cyclic,swap,ordered,False,0.1394670009613037,
tournament,cyclic,swap,ordered,False,0.13654112815856934,
tournament,cyclic,swap,ordered,False,0.13360905647277832,
tournament,cyclic,swap,ordered,False,0.12171101570129395,
tournament,cyclic,swap,ordered,False,0.21216726303100586,
tournament,cyclic,swap,ordered,False,0.15985393524169922,
tournament,cyclic,swap,ordered,False,0.22834992408752441,
tournament,cyclic,swap,ordered,False,0.21880412101745605,
tournament,cyclic,swap,ordered,False,0.05930376052856445,
tournament,cyclic,swap,ordered,False,0.1496126651763916,
tournament,cyclic,swap,ordered,False,0.07936978340148926,
tournament,cyclic,swap,ordered,False,0.05577206611633301,
tournament,cyclic,swap,ordered,False,0.16277098655700684,
tournament,cyclic,swap,ordered,False,0.08791613578796387,
tournament,cyclic,swap,ordered,False,0.05801224708557129,
tournament,cyclic,swap,ordered,False,0.06607675552368164,
tournament,cyclic,swap,ordered,False,0.039952993392944336,
tournament,cyclic,swap,ordered,False,0.0489039421081543,
tournament,cyclic,swap,ordered,False,0.0829460620880127,
tournament,cyclic,swap,ordered,False,0.06123781204223633,
tournament,cyclic,swap,ordered,False,0.07939267158508301,
tournament,cyclic,swap,ordered,False,0.09557580947875977,
tournament,cyclic,swap,ordered,True,0.025980710983276367,"[5, 7, 3, 1, 0, 6, 4, 8]"
tournament,cyclic,swap,ordered,False,0.08805084228515625,
tournament,cyclic,swap,ordered,False,0.1359093189239502,
tournament,cyclic,swap,ordered,False,0.21283602714538574,
tournament,cyclic,swap,ordered,False,0.11567211151123047,
tournament,cyclic,swap,ordered,True,0.013239860534667969,"[6, 4, 1, 9, 0, 7, 2, 3]"
tournament,cyclic,swap,ordered,False,0.2135169506072998,
tournament,cyclic,swap,ordered,False,0.20551395416259766,
tournament,cyclic,swap,ordered,False,0.140455961227417,
tournament,cyclic,swap,ordered,False,0.21735286712646484,
tournament,cyclic,swap,ordered,True,0.008756875991821289,"[7, 6, 4, 9, 0, 8, 1, 5]"
tournament,cyclic,swap,ordered,False,0.1345229148864746,
tournament,cyclic,swap,ordered,False,0.1575629711151123,
tournament,cyclic,swap,ordered,True,0.05525088310241699,"[7, 5, 3, 1, 0, 8, 2, 6]"
tournament,cyclic,swap,ordered,True,0.01031494140625,"[6, 8, 5, 1, 0, 7, 3, 9]"
tournament,cyclic,swap,ordered,False,0.11321496963500977,
tournament,cyclic,swap,ordered,False,0.23113393783569336,
tournament,cyclic,swap,ordered,False,0.1429297924041748,
tournament,cyclic,swap,ordered,False,0.08391284942626953,
tournament,cyclic,swap,ordered,False,0.05650520324707031,
tournament,cyclic,swap,ordered,False,0.09871792793273926,
tournament,cyclic,swap,ordered,False,0.07551097869873047,
tournament,cyclic,swap,ordered,False,0.09081387519836426,
tournament,cyclic,swap,ordered,False,0.0965120792388916,
tournament,cyclic,swap,ordered,False,0.18162989616394043,
tournament,cyclic,swap,ordered,False,0.12810635566711426,
tournament,cyclic,swap,ordered,False,0.035073041915893555,
tournament,cyclic,swap,ordered,False,0.048512935638427734,
tournament,cyclic,swap,ordered,False,0.05510592460632324,
tournament,cyclic,swap,ordered,True,0.02788686752319336,"[7, 5, 3, 9, 0, 8, 1, 4]"
tournament,cyclic,swap,ordered,False,0.034188032150268555,
tournament,cyclic,swap,ordered,False,0.035704851150512695,
tournament,cyclic,swap,ordered,False,0.06568002700805664,
tournament,cyclic,swap,ordered,False,0.09223294258117676,
tournament,cyclic,swap,ordered,False,0.04073500633239746,
tournament,cyclic,swap,ordered,False,0.04490184783935547,
tournament,cyclic,swap,ordered,True,0.014494895935058594,"[9, 5, 6, 7, 1, 0, 8, 2]"
tournament,cyclic,swap,ordered,True,0.011409997940063477,"[7, 5, 3, 4, 0, 8, 2, 9]"
tournament,cyclic,swap,ordered,False,0.06018996238708496,
tournament,cyclic,swap,ordered,False,0.047309160232543945,
tournament,cyclic,swap,ordered,True,0.010637044906616211,"[7, 3, 1, 6, 0, 8, 2, 9]"
tournament,cyclic,swap,ordered,False,0.03412604331970215,
tournament,cyclic,swap,ordered,False,0.050061702728271484,
tournament,cyclic,swap,ordered,False,0.09057307243347168,
tournament,cyclic,swap,ordered,True,0.009289979934692383,"[5, 7, 3, 1, 0, 6, 4, 8]"
tournament,cyclic,swap,ordered,False,0.19572186470031738,
tournament,cyclic,swap,ordered,True,0.01174783706665039,"[7, 6, 4, 3, 0, 8, 2, 9]"
tournament,cyclic,swap,ordered,False,0.08274102210998535,
tournament,cyclic,swap,ordered,False,0.12075114250183105,
tournament,cyclic,swap,ordered,False,0.16687488555908203,
tournament,cyclic,swap,ordered,False,0.11739015579223633,
tournament,cyclic,swap,ordered,False,0.09246969223022461,
tournament,cyclic,swap,ordered,False,0.11292004585266113,
tournament,cyclic,swap,elitism,False,0.11661696434020996,
tournament,cyclic,swap,elitism,True,0.08321404457092285,"[6, 8, 5, 1, 0, 7, 3, 9]"
tournament,cyclic,swap,elitism,False,0.1551957130432129,
tournament,cyclic,swap,elitism,False,0.07454490661621094,
tournament,cyclic,swap,elitism,False,0.06080985069274902,
tournament,cyclic,swap,elitism,False,0.06046795845031738,
tournament,cyclic,swap,elitism,False,0.06299686431884766,
tournament,cyclic,swap,elitism,False,0.2687265872955322,
tournament,cyclic,swap,elitism,True,0.05233001708984375,"[8, 5, 4, 2, 0, 9, 1, 7]"
tournament,cyclic,swap,elitism,False,0.22824406623840332,
tournament,cyclic,swap,elitism,False,0.09731197357177734,
tournament,cyclic,swap,elitism,False,0.0658109188079834,
tournament,cyclic,swap,elitism,True,0.005469799041748047,"[7, 6, 4, 9, 0, 8, 1, 5]"
tournament,cyclic,swap,elitism,False,0.09519100189208984,
tournament,cyclic,swap,elitism,False,0.16701483726501465,
tournament,cyclic,swap,elitism,False,0.06993293762207031,
tournament,cyclic,swap,elitism,False,0.059736013412475586,
tournament,cyclic,swap,elitism,False,0.14195513725280762,
tournament,cyclic,swap,elitism,False,0.22066187858581543,
tournament,cyclic,swap,elitism,False,0.23622488975524902,
tournament,cyclic,swap,elitism,True,0.0510258674621582,"[3, 7, 1, 9, 0, 4, 5, 6]"
tournament,cyclic,swap,elitism,False,0.10215592384338379,
tournament,cyclic,swap,elitism,True,0.01751089096069336,"[8, 4, 3, 2, 0, 9, 1, 6]"
tournament,cyclic,swap,elitism,True,0.054559946060180664,"[7, 6, 4, 9, 0, 8, 1, 5]"
tournament,cyclic,swap,elitism,False,0.17481780052185059,
tournament,cyclic,swap,elitism,True,0.04783487319946289,"[5, 7, 3, 2, 0, 6, 4, 9]"
tournament,cyclic,swap,elitism,False,0.17988896369934082,
tournament,cyclic,swap,elitism,True,0.039726972579956055,"[7, 3, 1, 6, 0, 8, 2, 9]"
tournament,cyclic,swap,elitism,True,0.12172698974609375,"[3, 8, 2, 9, 0, 4, 5, 7]"
tournament,cyclic,swap,elitism,False,0.05484604835510254,
tournament,cyclic,swap,elitism,False,0.047551870346069336,
tournament,cyclic,swap,elitism,False,0.05086517333984375,
tournament,cyclic,swap,elitism,False,0.06218099594116211,
tournament,cyclic,swap,elitism,False,0.08675885200500488,
tournament,cyclic,swap,elitism,False,0.21158289909362793,
tournament,cyclic,swap,elitism,False,0.08779788017272949,
tournament,cyclic,swap,elitism,True,0.012751102447509766,"[7, 6, 4, 3, 0, 8, 2, 9]"
tournament,cyclic,swap,elitism,False,0.2515380382537842,
tournament,cyclic,swap,elitism,True,0.017764806747436523,"[7, 4, 2, 9, 0, 8, 1, 3]"
tournament,cyclic,swap,elitism,False,0.25585103034973145,
tournament,cyclic,swap,elitism,False,0.14473414421081543,
tournament,cyclic,swap,elitism,False,0.10524201393127441,
tournament,cyclic,swap,elitism,False,0.12174272537231445,
tournament,cyclic,swap,elitism,True,0.03633284568786621,"[3, 8, 2, 1, 0, 4, 6, 9]"
tournament,cyclic,swap,elitism,False,0.2569248676300049,
tournament,cyclic,swap,elitism,True,0.1630570888519287,"[7, 4, 2, 9, 0, 8, 1, 3]"
tournament,cyclic,swap,elitism,False,0.12015700340270996,
tournament,cyclic,swap,elitism,True,0.10224008560180664,"[3, 7, 1, 2, 0, 4, 6, 9]"
tournament,cyclic,swap,elitism,False,0.06394290924072266,
tournament,cyclic,swap,elitism,False,0.040782928466796875,
tournament,cyclic,swap,elitism,False,0.04105377197265625,
tournament,cyclic,swap,elitism,False,0.10107111930847168,
tournament,cyclic,swap,elitism,False,0.183851957321167,
tournament,cyclic,swap,elitism,False,0.1750471591949463,
tournament,cyclic,swap,elitism,False,0.13456511497497559,
tournament,cyclic,swap,elitism,False,0.16380906105041504,
tournament,cyclic,swap,elitism,False,0.11441612243652344,
tournament,cyclic,swap,elitism,False,0.08647894859313965,
tournament,cyclic,swap,elitism,False,0.0856471061706543,
tournament,cyclic,swap,elitism,False,0.09087586402893066,
tournament,cyclic,swap,elitism,False,0.10709095001220703,
tournament,cyclic,swap,elitism,False,0.09018707275390625,
tournament,cyclic,swap,elitism,False,0.09128093719482422,
tournament,cyclic,swap,elitism,True,0.03372311592102051,"[6, 5, 2, 4, 0, 7, 3, 9]"
tournament,cyclic,swap,elitism,False,0.10871195793151855,
tournament,cyclic,swap,elitism,True,0.008301258087158203,"[6, 5, 2, 4, 0, 7, 3, 9]"
tournament,cyclic,swap,elitism,False,0.10872721672058105,
tournament,cyclic,swap,elitism,False,0.09390497207641602,
tournament,cyclic,swap,elitism,False,0.10840201377868652,
tournament,cyclic,swap,elitism,False,0.1653430461883545,
tournament,cyclic,swap,elitism,False,0.11479377746582031,
tournament,cyclic,swap,elitism,False,0.07515430450439453,
tournament,cyclic,swap,elitism,False,0.05759596824645996,
tournament,cyclic,swap,elitism,False,0.05812191963195801,
tournament,cyclic,swap,elitism,False,0.07190394401550293,
tournament,cyclic,swap,elitism,False,0.478579044342041,
tournament,cyclic,swap,elitism,False,0.12414407730102539,
tournament,cyclic,swap,elitism,True,0.046133995056152344,"[7, 5, 3, 9, 0, 8, 1, 4]"
tournament,cyclic,swap,elitism,False,0.10223627090454102,
tournament,cyclic,swap,elitism,False,0.10108399391174316,
tournament,cyclic,swap,elitism,False,0.10843682289123535,
tournament,cyclic,swap,elitism,False,0.10773992538452148,
tournament,cyclic,swap,elitism,False,0.09100985527038574,
tournament,cyclic,swap,elitism,True,0.06891393661499023,"[7, 6, 4, 3, 0, 8, 2, 9]"
tournament,cyclic,swap,elitism,False,0.10025525093078613,
tournament,cyclic,swap,elitism,False,0.08846688270568848,
tournament,cyclic,swap,elitism,True,0.02989506721496582,"[5, 8, 4, 9, 0, 6, 3, 7]"
tournament,cyclic,swap,elitism,False,0.08821415901184082,
tournament,cyclic,swap,elitism,False,0.10412383079528809,
tournament,cyclic,swap,elitism,False,0.18712496757507324,
tournament,cyclic,swap,elitism,False,0.09518790245056152,
tournament,cyclic,swap,elitism,False,0.098114013671875,
tournament,cyclic,swap,elitism,False,0.11683511734008789,
tournament,cyclic,swap,elitism,False,0.09494996070861816,
tournament,cyclic,swap,elitism,False,0.09335017204284668,
tournament,cyclic,swap,elitism,True,0.09346938133239746,"[5, 7, 3, 1, 0, 6, 4, 8]"
tournament,cyclic,swap,elitism,False,0.11083197593688965,
tournament,cyclic,swap,elitism,True,0.07016706466674805,"[8, 5, 4, 2, 0, 9, 1, 7]"
tournament,cyclic,swap,elitism,False,0.08460426330566406,
tournament,cyclic,swap,elitism,False,0.09583115577697754,
